GlobalID,ElementName,AltName,Definition,Format,HasOptionSet,UsageNotes,URL,Version,TermID,ChangedInThisVersionInd,ChangeNotes,TechnicalName,TableName,Domain
11,Adequate Yearly Progress Status,AYP Status,An indication of whether the state," district"," or school met the Adequate Yearly Progress (AYP) requirements for the school year"," as determined by the state-established criteria.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19011,10,AYPStatus,,
12,Administrative Funding Control,,The type of education institution as classified by its funding source.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19012,10,19012,Updated,Added elements to DES contexts to support post-secondary needs,AdministrativeFundingControl,,
13,Course Aligned with Standards,,An indication whether a course is aligned with the established standards of a curriculum framework.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19013,10,19013,,,CourseAlignedWithStandards,,
14,Alternate Adequate Yearly Progress Approach Indicator,Alternate AYP Approach Indicator,An indication of whether the district or school used an approved alternate approach for calculating Adequate Yearly Progress (AYP).,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19014,10,19014,,,AlternateAYPApproachIndicator,,
15,Alternative School Focus Type,,An indication of the specific group of students whose needs the alternative school is designed to meet.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19015,10,19015,,,AlternativeSchoolFocusType,,
17,Advanced Placement Course Self Selection,AP Course Self Selection,An indication of whether enrollment via self-selection by the student is permitted for all Advanced Placement (AP) courses offered.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19017,10,19017,,,APCourseSelfSelection,,
18,Advanced Placement Credits Awarded,AP Credits Awarded,"The number of credits awarded a student by the postsecondary institution based on successful completion of advanced placement courses and/or advanced placement tests. ",Integer - greater than or equal to 0,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19018,10,19018,,,APCreditsAwarded,,
19,Address Apartment Room or Suite Number,,The apartment," room"," or suite number of an address.",Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19019,10,19019,AddressApartmentRoomOrSuiteNumber,,
21,Assessment Academic Subject,,The description of the academic content or subject area (e.g.," arts"," mathematics"," reading"," or a foreign language) being evaluated.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19021,AssessmentAcademicSubject,,
24,Assessment Form Name,,The name of a given assessment form.,Alphanumeric - 40 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19024,10,19024,,,AssessmentFormName,,
25,Assessment Registration Participation Indicator,,An indication of whether a student participated in an assessment.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19025,10,19025,,,AssessmentRegistrationParticipationIndicator,,
26,Assessment Purpose,,The reason for which an assessment is designed or delivered.,,TRUE,This element might have multiple occurrences associated with any one assessment.,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19026,10,19026,,,AssessmentPurpose,,
27,Course Section Assessment Reporting Method,,The method that the instructor of the course uses to report the performance and achievement of all students. It may be a qualitative method such as individualized teacher comments or a quantitative method such as a letter or a numerical grade. In some cases," more than one type of reporting method may be used.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19027,10,19027,,CourseSectionAssessmentReportingMethod,,
28,Assessment Title,,The title or name of the assessment.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19028,10,19028,,,AssessmentTitle,,
29,Assessment Type,,The category of an assessment based on format and content.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19029,10,19029,,,AssessmentType,,
30,Available Carnegie Unit Credit,,Measured in Carnegie units," the amount of credit available to a student who successfully meets the objectives of the course. A course meeting every day for one period of the school day over the span of a school year offers one Carnegie unit. A Carnegie unit is thus a measure of ""seat time"" rather than a measure of attainment of the course objectives.",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19030,10,19030,,AvailableCarnegieUnitCredit,,
31,Awaiting Initial IDEA Evaluation Status,,"Awaiting initial evaluation for special education programs and related services under the Individuals with Disabilities Education Act (IDEA). ",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19031,10,19031,,,AwaitingInitialIDEAEvaluationStatus,,
32,Staff Compensation Base Salary,,The salary or wage a person is paid before deductions (excluding differentials) but including annuities.,Numeric - up to 2 digits after decimal place,FALSE,For the Common Core Data Teacher Compensation Survey this is: 'The negotiated annual salary for teaching duties for the school year. The base salary excludes pay for additional duties," such as supervising or directing afterschool activities"," school administration activities"," and teaching summer school or adult education classes. Bonuses and other incentives are not included in base salaries.'  Also use CEDS element Salary for Teaching Assignment Only Indicator to indicate if a Base Salary is specific to teaching assignments.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19032,10,StaffCompensationBaseSalary,,
33,Birthdate,,The year," month and day on which a person was born.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19033,10,19033,Updated,Birthdate,,
35,Campus Residency Type,,A person's residency arrangement as defined in the Free Application for Federal Student Aid (FAFSA).,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19035,10,19035,,,CampusResidencyType,,
36,Career and Technical Education Completer,CTE Completer,An indication of a student who reached a state-defined threshold of a career and technical education program/pathway.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19036,10,19036,,,CTECompleter,,
37,Career and Technical Education Concentrator,CTE Concentrator,An indication of a student who has met the state-defined threshold of career and technical education concentrators," as defined in the State's approved Perkins IV State Plan.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19037,10,19037,,CTEConcentrator,,
38,Carnegie Basic Classification,,The Basic Classification is an update of the traditional classification framework developed by the Carnegie Commission on Higher Education in 1970 to support its research program," and later published in 1973 for use by other researchers.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19038,10,19038,,CarnegieBasicClassification,,
39,Charter School Indicator,,An indication that a public school provides free public elementary and/or secondary education to eligible students under a specific charter executed," pursuant to a state charter school law"," by an authorized chartering agency/authority and that is designated by such authority to be a public charter school.",,TRUE,When the element is used for an LEA," it means the LEA is a Charter District meaning any and all schools under the authority of the LEA are charter schools. Don't flag an LEA as a charter district if it has a mix of charter schools and non-charter schools.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19039,10,CharterSchoolIndicator,,
40,Address City,,The name of the city in which an address is located.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19040,10,19040,,,AddressCity,,
41,High School Student Class Rank,,The academic rank of a student in relation to his or her high school graduating class (e.g.,1,2," 3) based on high school GPA.",Integer - greater than or equal to 0,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19041,10,HighSchoolStudentClassRank,,
42,Class Ranking Date,,The date class ranking was determined.,YYYY-MM-DD or YYYY-MM or YYYY,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19042,10,19042,,,ClassRankingDate,,
43,Classification of Instructional Program Code,CIP Code,A six-digit code in the form xx.xxxx that identifies instructional program specialties within educational institutions.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19043,10,19043,,,CIPCode,,
44,Classification of Instructional Program Use,CIP Use,An indicator of whether the CIP Code is referencing an enrollment program or an award program.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19044,10,19044,,,CIPUse,,
45,Classification of Instructional Program Version,CIP Version,The version of CIP being reported.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19045,10,19045,,,CIPVersion,,
46,Cohort Year,,The school year in which the student entered the baseline group used for computing completion rates (e.g.," high school"," program).",YYYY,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19046,10,19046,CohortYear,,
47,Contract Days of Service Per Year,,The number of days per year that a person is expected to work as outlined specifically in his or her employment agreement.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19047,10,19047,,,ContractDaysOfServicePerYear,,
48,Control of Institution,,"A classification of whether a postsecondary institution is operated by publicly elected or appointed officials (public control) or by privately elected or appointed officials and derives its major source of funds from private sources (private control). ",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19048,10,19048,,,ControlOfInstitution,,
49,Corrective Action Type,,The types of corrective actions under ESEA as amended.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19049,10,19049,,,CorrectiveActionType,,
50,Country Code,,The unique two character International Organization for Standardization (ISO) code for the country in which an address is located.,,TRUE,"The CEDS Country Code option set comes from the &lt;a href=""http://www.iso.org/iso/country_codes.htm""&gt;ISO 3166 standard&lt;/a&gt;"," the short name for Officially assigned codes.   Discontinued codes from the ISO standard are not included in the CEDS list.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19050,10,19050,,CountryCode,,
51,Country of Birth Code,,The unique two digit International Organization for Standardization (ISO) code for the country in which a person is born.,,TRUE,"The CEDS Country Code option set comes from the &lt;a href=""http://www.iso.org/iso/country_codes.htm""&gt;ISO 3166 standard&lt;/a&gt;"," the short name for Officially assigned codes.   Discontinued codes from the ISO standard are not included in the CEDS list.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19051,10,19051,,CountryOfBirthCode,,
53,Course Academic Grade,,"The final grade awarded for participation in the course. ",Alphanumeric - 15 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19053,10,19053,,,CourseAcademicGrade,,
54,Course Begin Date,,The year," month and day an instance of a course officially began.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19054,10,19054,,CourseBeginDate,,
55,Course Identifier,,The actual code that identifies the organization of subject matter and related learning experiences provided for the instruction of students.,Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19055,CourseIdentifier,,
56,Course Code System,,A system that is used to identify the organization of subject matter and related learning experiences provided for the instruction of students.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19056,10,19056,,,CourseCodeSystem,,
57,Course Credit Units,,The type of credit (unit," semester"," or quarter) associated with the credit hours earned for the course. ",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19057,10,19057,CourseCreditUnits,,
58,Credit Value,,The amount of credit available to the student who successfully meets the objectives of the course or learning opportunity based on the units defined by Credit Unit Type.,Numeric - up to 2 digits after decimal place,FALSE,"For K-12 a course meeting every day for one period of the school day over the span of a school year typically offers one Carnegie unit. In this case a Carnegie unit is  a measure of ""seat time"" rather than a measure of attainment of the course objectives.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19058,10,19058,,,CreditValue,,
59,Course End Date,,The year," month and day an instance of a course ends.",YYYY-MM-DD,FALSE,All CEDS Exit and End Dates represent the last day of the date range specified," such as the last day that a person was enrolled"," participated"," or received services.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19059,CourseEndDate,,
60,Course Grade Point Average Applicability,Course GPA Applicability,An indicator of whether or not this course being described is included in the computation of the student�s Grade Point Average (GPA).,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19060,10,19060,,,CourseGPAApplicability,,
61,Course Level Characteristic,,An indication of the general nature and difficulty of instruction provided throughout a course.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19061,10,19061,Updated,Added options to align with the Migrant Student Information (MSIX) data collections.,CourseLevelCharacteristic,,
63,Course Override School,,"The school where the credit was earned if different from the institution reporting. ",Alphanumeric - 80 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19063,10,19063,,,CourseOverrideSchool,,
64,Course Quality Points Earned,,"The numerical value assigned to a letter grade to provide a basis of quantitative determination of an average. ",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19064,10,19064,,,CourseQualityPointsEarned,,
65,Course Repeat Code,,Indicates that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19065,10,19065,,,CourseRepeatCode,,
66,Course Subject Abbreviation,,"The alphabetic abbreviation of the academic department or discipline offering the course. It is one part of the total course identifier number. ",Alphanumeric - 10 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19066,10,19066,Updated,Added elements to DES contexts to support post-secondary needs,CourseSubjectAbbreviation,,
67,Course Title,,The descriptive name given to a course of study offered in a school or other institution or organization. In departmentalized classes at the elementary," secondary"," and postsecondary levels (and for staff development activities)"," this refers to the name by which a course is identified (e.g."," American History"," English III). For elementary and other non-departmentalized classes"," it refers to any portion of the instruction for which a grade or report is assigned (e.g."," reading"," composition",CourseTitle,,
68,Postsecondary Course Title,,The name or title of the course taken by a student at an academic institution.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19068,10,19068,,,PostsecondaryCourseTitle,,
69,Credential Expiration Date,,The year," month and day on which an active credential held by a person will expire.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19069,10,19069,Updated,CredentialExpirationDate,,
70,Credential Issuance Date,,The year," month and day on which an active credential was issued to a person.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19070,10,19070,,CredentialIssuanceDate,,
71,Credential Type,,An indication of the category of credential a person holds.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19071,10,19071,Updated,Removed element from DES context to support post-secondary needs,CredentialType,,
72,Credit Unit Type,,The type of credits or units of value awarded for the completion of a course.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19072,10,19072,,,CreditUnitType,,
73,Credits Attempted Cumulative,,The cumulative number of credits a person attempts to earn by taking courses during their enrollment in their current education institution as well as those credits transferred from an education institution in which the person had been previously enrolled.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19073,10,19073,Updated,Added elements to DES contexts to support post-secondary needs and changed definition,CreditsAttemptedCumulative,,
74,Credits Earned Cumulative,,The cumulative number of credits a person earns by completing courses or examinations during their enrollment in the current education institution as well as those credits transferred from an education institution in which the person had been previously enrolled.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19074,10,19074,Updated,Added elements to DES contexts to support post-secondary needs and changed definition,CreditsEarnedCumulative,,
75,Career and Technical Education Graduation Rate Inclusion,CTE Graduation Rate Inclusion,An indication of how CTE concentrators are included in the state's computation of its graduation rate.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19075,10,19075,,,CTEGraduationRateInclusion,,
76,Attendance Status,,The status of a person's attendance associated with an Attendance Event Type and Attendance Event Date in an organization-person-role context.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19076,10,19076,,,AttendanceStatus,,
77,Degree Applicability,,"An indication that the course is a part of a degree program. ",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19077,10,19077,,,DegreeApplicability,,
78,Degree or Certificate Seeking Student,,Person is enrolled in courses for credit and recognized by the institution as seeking a degree," certificate"," or other formal award. High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19078,10,19078,DegreeOrCertificateSeekingStudent,,
79,Dependency Status,,A person's classification as dependent or independent with regards to eligibility for Title IV Federal Student aid.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19079,10,19079,,,DependencyStatus,,
80,Desegregation Order or Plan,,An indication whether the LEA is covered by a desegregation plan either ordered by a court or entered into with the Office for Civil Rights under Title VI of the Civil Rights Act of 1964.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19080,10,19080,,,DesegregationOrderOrPlan,,
81,Diploma or Credential Award Date,,The month and year on which the diploma/credential is awarded to a student in recognition of his/her completion of the curricular requirements.,YYYY-MM,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19081,10,19081,,,DiplomaOrCredentialAwardDate,,
82,Disciplinary Action End Date,,The year," month and day on which a discipline action ends.",YYYY-MM-DD,FALSE,All CEDS Exit and End Dates represent the last day of the date range specified," such as the last day that a person was enrolled"," participated"," or received services.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19082,DisciplinaryActionEndDate,,
83,Disciplinary Action Start Date,,The year," month and day on which a discipline action begins.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19083,10,19083,,DisciplinaryActionStartDate,,
84,Career-Technical-Adult Education Displaced Homemaker Indicator,CTE-AE Displaced Homemaker Indicator,A person who ; (A) (i) has worked primarily without remuneration to care for a home and family," and for that reason has diminished marketable skills;    (ii) has been dependent on the income of another family member but is no longer supported by that income; or    (iii) is a parent whose youngest dependent child will become ineligible to receive assistance under part A of title IV of the Social Security Act (42 U.S.C. 601 et seq.) not later than 2 years after the date on which the parent applies for assistance under such title; and (B)   is unemployed or underemployed and is experiencing difficulty in obtaining or upgrading employment.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19084,10,19084,,CTEAEDisplacedHomemakerIndicator,,
85,Dual Credit Dual Enrollment Credits Awarded,,"The number of credits awarded a student by the postsecondary institution based on successful completion of dual credit/dual enrollment courses. ",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19085,10,19085,,,DualCreditDualEnrollmentCreditsAwarded,,
86,Economic Disadvantage Status,,An indication that the student met the State criteria for classification as having an economic disadvantage.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19086,10,19086,Updated,Added elements to DES contexts to support post-secondary needs,EconomicDisadvantageStatus,,
87,K12 Staff Classification,,The titles of employment," official status"," or rank of education staff.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19087,10,19087,K12StaffClassification,,
88,Electronic Mail Address,Email Address,The numbers," letters"," and symbols used to identify an electronic mail (e-mail) user within the network to which the person or organization belongs.",Alphanumeric - between 7 and 128 characters,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19088,10,19088,ElectronicMailAddress,,
89,Electronic Mail Address Type,Email Address Type,The type of electronic mail (e-mail) address listed for a person or organization.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19089,10,19089,,,ElectronicMailAddressType,,
91,Elementary-Middle Additional Indicator Status,," An indication of whether the school or district met the Elementary/Middle Additional Indicator requirement in accordance with state definition for the purpose of determining Adequate Yearly Progress (AYP).",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19091,10,19091,,,ElementaryMiddleAdditionalIndicatorStatus,,
92,Eligibility Status for School Food Service Programs,,An indication of a student's level of eligibility to participate in the National School Lunch Program for breakfast," lunch"," snack"," supper"," and milk programs.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19092,EligibilityStatusForSchoolFoodServicePrograms,,
93,End of Term Status,,The nature of the student's progress at the end of a given school term.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19093,10,19093,,,EndOfTermStatus,,
94,Enrollment Status,,An indication as to whether a student's name was," is"," or will be officially registered on the roll of a school or schools.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19094,10,19094,EnrollmentStatus,,
95,Postsecondary Enrollment Type,,An indicator of the enrollment type associated with the enrollment award level of a person at the beginning of a term.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19095,10,19095,,,PostsecondaryEnrollmentType,,
96,Postsecondary Enrollment Status,,An indication of the student's enrollment status for a particular term as defined by the institution,,TRUE,Either use option 02 or one of the options," 04 or 05"," for less than full-time but at least half-time.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19096,10,19096,PostsecondaryEnrollmentStatus,,
97,Enrollment Entry Date,,The month," day"," and year on which a person enters and begins to receive instructional services in a school"," institution"," program"," or class-section during a given session.",YYYY-MM-DD,FALSE,,EnrollmentEntryDate,,
98,Entry Date into Postsecondary,,The year," month and day on which a person entered and began to receive instructional services at a postsecondary institution for the first time after completing high school (or its equivalent). ",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19098,10,19098,,EntryDateIntoPostsecondary,,
99,Entry Type,,The process by which a student enters a school during a given academic session.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19099,10,19099,,,EntryType,,
100,Entry Grade Level,,The grade level or primary instructional level at which a student enters and receives services in a school or an educational institution during a given academic session.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19100,10,19100,,,EntryGradeLevel,,
101,Course Section Time Required for Completion,,The actual or estimated number of clock minutes required for course completion. This number is especially important for career and technical education course and may represent (in minutes) the clock hour requirement of the course," the number of minutes (or clock hours) of class time per week"," times the number of equivalent weeks the class typically meets.",Integer - greater than or equal to 0,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19101,10,19101,CourseSectionTimeRequiredForCompletion,,
102,Staff Evaluation Outcome,,The result of an assessment of a person's performance.,Alphanumeric - 80 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19102,10,19102,,,StaffEvaluationOutcome,,
103,Staff Evaluation Scale,,The quantitative or qualitative range of possible scores/rating for a person's overall performance (e.g.," 0 - 10; Poor"," Fair"," Average"," Good"," Excellent).",Alphanumeric - 80 characters maximum,FALSE,,StaffEvaluationScale,,
104,Staff Evaluation Score or Rating,,The actual quantitative or qualitative assessment of a person's overall performance.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19104,10,19104,Updated,Changed definition of element to support reporting requirements,StaffEvaluationScoreOrRating,,
105,Staff Evaluation System,,The instrument and/or set of procedures with which a person's performance is assessed.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19105,10,19105,,,StaffEvaluationSystem,,
106,Cohort Exclusion,,Those persons who may be removed (deleted) from a cohort (or subcohort). For the Graduation Rates and Fall Enrollment retention rate reporting," persons may be removed from a cohort if they left the institution for one of the following reasons: death or total and permanent disability; service in the armed forces (including those called to active duty); service with a foreign aid service of the federal government"," such as the Peace Corps; or service on official church missions.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19106,10,19106,CohortExclusion,,
107,Enrollment Exit Date,,The year," month and day on which the student officially withdrew or graduated"," i.e. the date on which the student's enrollment ended.",YYYY-MM-DD,FALSE,All CEDS Exit and End Dates represent the last day of the date range specified," such as the last day that a person was enrolled"," participated"," or received services.",EnrollmentExitDate,,
108,Exit or Withdrawal Status,,An indication as to whether an instance of student exit/withdrawal is considered to be of a permanent or temporary nature.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19108,10,19108,,,ExitOrWithdrawalStatus,,
110,Exit or Withdrawal Type,,"The circumstances under which the student exited from membership in an educational institution. ",,TRUE,The purpose of this element is to track the circumstances related to an exit from membership. There are multiple use cases related to this element," some for longitudinal purposes"," some for funding"," some for live transactional systems. The descriptions and definitions are intended to meet those needs. Four often misunderstood options are explained below:&lt;BR/&gt;",,,ExitOrWithdrawalType,,
	1.  09999 - Other. Other is intended to indicate that CEDS has not yet defined a circumstance in which this exit occurred.&lt;BR/&gt;,,,,,,,,,,,,,,
"	2.  03505 - Exited. Unlike ""09999 - Other"""," the ""Exited"" option is intended to be used for administrative purposes such as a mid-year grade level change. &lt;BR/&gt;",,,,,,,,,,,,,
	3.  01931 - Not enrolled," unknown status. This is to be used as a placeholder while additional exit information is collected or to track students who are known to have Discontinued Schooling (dropped out) separate from students whose whereabouts are unknown.&lt;BR/&gt;",,,,,,,,,,,,,
	4.  03502 - Not enrolled," eligible to return. Different than the 01931 code"," the status of this student is not unknown; however"," the institution is required to exit the student from membership for an extended period. It is expected the student will reenroll in the same institution following this extended period.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19110,10,19110,,,,,,,,
